step,prey_population,predator_population,total_population,total_kills,total_births,prey_growth_rate,predator_growth_rate,kills_per_step,births_per_step,prey_smooth,predator_smooth,prey_predator_ratio,ecosystem_health,prey_momentum,predator_momentum
0,84,12,96,0,4,4.761904761904767,0.0,0.0,0.0,89.6,12.0,7.0,1.0,2.3333333333333335,0.0
1,88,12,100,0,8,4.761904761904767,0.0,0.0,4.0,89.6,12.0,7.333333333333333,0.9844933281217023,2.3333333333333335,0.0
2,90,12,102,0,10,2.2727272727272707,0.0,0.0,2.0,89.6,12.0,7.5,0.9770023761710162,2.3333333333333335,0.0
3,91,12,103,1,12,1.1111111111111072,0.0,1.0,2.0,92.2,12.0,7.583333333333333,0.9733190974421545,2.3333333333333335,0.0
4,95,12,107,2,17,4.395604395604402,0.0,1.0,5.0,94.4,12.0,7.916666666666667,0.9589799690809243,2.3333333333333335,0.0
5,97,12,109,3,20,2.1052631578947434,0.0,1.0,3.0,97.0,12.0,8.083333333333334,0.9520352734466435,2.3333333333333335,0.0
6,99,12,111,3,22,2.0618556701030855,0.0,0.0,2.0,99.8,12.0,8.25,0.9452323162362413,2.6666666666666665,0.0
7,103,12,115,3,26,4.040404040404044,0.0,0.0,4.0,101.8,12.0,8.583333333333334,0.9320292702045593,2.6666666666666665,0.0
8,105,12,117,3,28,1.9417475728155331,0.0,0.0,2.0,103.4,12.0,8.75,0.9256188162285968,2.6666666666666665,0.0
9,105,12,117,4,29,0.0,0.0,1.0,1.0,105.0,12.0,8.75,0.9256188162285968,2.0,0.0
10,105,12,117,5,30,0.0,0.0,1.0,1.0,105.6,12.0,8.75,0.9256188162285968,0.6666666666666666,0.0
11,107,12,119,5,32,1.904761904761898,0.0,0.0,2.0,106.2,12.0,8.916666666666666,0.9193293214604692,0.6666666666666666,0.0
12,106,12,118,6,32,-0.9345794392523366,0.0,1.0,0.0,107.2,12.0,8.833333333333334,0.9224592349104155,0.3333333333333333,0.0
13,108,12,120,6,34,1.8867924528301883,0.0,0.0,2.0,108.8,12.0,9.0,0.9162285239063646,1.0,0.0
14,110,12,122,6,36,1.85185185185186,0.0,0.0,2.0,110.2,12.0,9.166666666666666,0.9101121443502991,1.0,0.0
15,113,12,125,6,39,2.7272727272727337,0.0,0.0,3.0,112.2,12.0,9.416666666666666,0.901142993376991,2.3333333333333335,0.0
16,114,12,126,6,40,0.8849557522123908,0.0,0.0,1.0,113.8,12.0,9.5,0.8982061168162727,2.0,0.0
17,116,12,128,6,42,1.7543859649122862,0.0,0.0,2.0,114.8,12.0,9.666666666666666,0.8924088692456497,2.0,0.0
18,116,12,128,7,43,0.0,0.0,1.0,1.0,115.2,12.0,9.666666666666666,0.8924088692456497,1.0,0.0
19,115,12,127,8,43,-0.8620689655172376,0.0,1.0,0.0,115.6,12.0,9.583333333333334,0.8952948901600212,0.3333333333333333,0.0
20,115,12,127,8,43,0.0,0.0,0.0,0.0,116.0,12.0,9.583333333333334,0.8952948901600212,-0.3333333333333333,0.0
21,116,12,128,8,44,0.8695652173912993,0.0,0.0,1.0,116.6,12.0,9.666666666666666,0.8924088692456497,0.0,0.0
22,118,12,130,8,46,1.724137931034475,0.0,0.0,2.0,118.2,12.0,9.833333333333334,0.8867107247925496,1.0,0.0
23,119,12,131,8,47,0.8474576271186418,0.0,0.0,1.0,119.8,12.0,9.916666666666666,0.8838977685772614,1.3333333333333333,0.0
24,123,12,135,8,51,3.3613445378151363,0.0,0.0,4.0,121.2,12.0,10.25,0.8728774811569654,2.3333333333333335,0.0
25,123,12,135,8,51,0.0,0.0,0.0,0.0,122.4,11.8,10.25,0.8728774811569654,1.6666666666666667,0.0
26,123,12,135,9,52,0.0,0.0,1.0,1.0,123.6,11.6,10.25,0.8728774811569654,1.3333333333333333,0.0
27,124,11,135,10,54,0.8130081300812941,-8.333333333333337,1.0,2.0,124.2,11.2,11.272727272727273,0.841174618749549,0.3333333333333333,-0.3333333333333333
28,125,11,136,10,55,0.8064516129032251,0.0,0.0,1.0,125.0,10.8,11.363636363636363,0.8384972281837942,0.6666666666666666,-0.3333333333333333
29,126,10,136,10,56,0.8000000000000007,-9.090909090909093,0.0,1.0,125.8,10.4,12.6,0.8040711116992937,1.0,-0.6666666666666666
30,127,10,137,10,57,0.7936507936507908,0.0,0.0,1.0,126.4,10.0,12.7,0.8014360518635892,1.0,-0.3333333333333333
31,127,10,137,10,57,0.0,0.0,0.0,0.0,126.8,9.6,12.7,0.8014360518635892,0.6666666666666666,-0.3333333333333333
32,127,9,136,10,57,0.0,-9.999999999999998,0.0,0.0,127.0,9.4,14.11111111111111,0.7663158799776472,0.3333333333333333,-0.3333333333333333
33,127,9,136,10,57,0.0,0.0,0.0,0.0,126.8,9.2,14.11111111111111,0.7663158799776472,0.0,-0.3333333333333333
34,127,9,136,10,57,0.0,0.0,0.0,0.0,126.4,9.0,14.11111111111111,0.7663158799776472,0.0,-0.3333333333333333
35,126,9,135,12,58,-0.7874015748031482,0.0,2.0,1.0,126.4,8.8,14.0,0.7689509398133516,-0.3333333333333333,0.0
36,125,9,134,13,58,-0.7936507936507908,0.0,1.0,0.0,126.6,8.6,13.88888888888889,0.7716069963630772,-0.6666666666666666,0.0
37,127,8,135,13,60,1.6000000000000014,-11.111111111111116,0.0,2.0,126.8,8.4,15.875,0.727054868092186,0.0,-0.3333333333333333
38,128,8,136,13,61,0.7874015748031482,0.0,0.0,1.0,127.2,8.0,16.0,0.7244404756051774,0.6666666666666666,-0.3333333333333333
39,128,8,136,13,61,0.0,0.0,0.0,0.0,127.8,7.6,16.0,0.7244404756051774,1.0,-0.3333333333333333
40,128,7,135,13,61,0.0,-12.5,0.0,0.0,128.0,7.4,18.285714285714285,0.6799300113970033,0.3333333333333333,-0.3333333333333333
41,128,7,135,13,61,0.0,0.0,0.0,0.0,128.0,7.0,18.285714285714285,0.6799300113970033,0.0,-0.3333333333333333
42,128,7,135,13,61,0.0,0.0,0.0,0.0,128.0,6.6,18.285714285714285,0.6799300113970033,0.0,-0.3333333333333333
43,128,6,134,13,61,0.0,-14.28571428571429,0.0,0.0,128.0,6.4,21.333333333333332,0.6285464514545838,0.0,-0.3333333333333333
44,128,6,134,13,61,0.0,0.0,0.0,0.0,128.0,6.2,21.333333333333332,0.6285464514545838,0.0,-0.3333333333333333
45,128,6,134,13,61,0.0,0.0,0.0,0.0,128.0,6.0,21.333333333333332,0.6285464514545838,0.0,-0.3333333333333333
46,128,6,134,13,61,0.0,0.0,0.0,0.0,128.2,6.0,21.333333333333332,0.6285464514545838,0.0,0.0
47,128,6,134,13,61,0.0,0.0,0.0,0.0,128.4,6.0,21.333333333333332,0.6285464514545838,0.0,0.0
48,129,6,135,13,62,0.78125,0.0,0.0,1.0,128.8,6.0,21.5,0.6259524046405653,0.3333333333333333,0.0
49,129,6,135,13,62,0.0,0.0,0.0,0.0,129.2,6.0,21.5,0.6259524046405653,0.3333333333333333,0.0
50,130,6,136,13,63,0.7751937984496138,0.0,0.0,1.0,130.0,5.8,21.666666666666668,0.6233783892759286,0.6666666666666666,0.0
51,130,6,136,13,63,0.0,0.0,0.0,0.0,130.4,5.6,21.666666666666668,0.6233783892759286,0.3333333333333333,0.0
52,132,5,137,13,65,1.538461538461533,-16.666666666666664,0.0,2.0,130.8,5.2,26.4,0.5575153796343477,1.0,-0.3333333333333333
53,131,5,136,14,65,-0.7575757575757569,0.0,1.0,0.0,131.0,4.8,26.2,0.5600502460960874,0.3333333333333333,-0.3333333333333333
54,131,4,135,14,65,0.0,-19.999999999999996,0.0,0.0,131.4,4.4,32.75,0.4856690623246841,0.3333333333333333,-0.6666666666666666
55,131,4,135,14,65,0.0,0.0,0.0,0.0,131.6,4.2,32.75,0.4856690623246841,-0.3333333333333333,-0.3333333333333333
56,132,4,136,14,66,0.7633587786259444,0.0,0.0,1.0,132.0,4.0,33.0,0.48313419586294437,0.3333333333333333,-0.3333333333333333
57,133,4,137,14,67,0.7575757575757569,0.0,0.0,1.0,132.4,4.0,33.25,0.48061846065115,0.6666666666666666,0.0
58,133,4,137,14,67,0.0,0.0,0.0,0.0,132.8,4.0,33.25,0.48061846065115,0.6666666666666666,0.0
59,133,4,137,14,67,0.0,0.0,0.0,0.0,133.0,4.0,33.25,0.48061846065115,0.3333333333333333,0.0
60,133,4,137,15,68,0.0,0.0,1.0,1.0,133.0,4.0,33.25,0.48061846065115,0.0,0.0
61,133,4,137,15,68,0.0,0.0,0.0,0.0,133.0,4.0,33.25,0.48061846065115,0.0,0.0
62,133,4,137,15,68,0.0,0.0,0.0,0.0,133.0,4.0,33.25,0.48061846065115,0.0,0.0
63,133,4,137,15,68,0.0,0.0,0.0,0.0,133.0,4.0,33.25,0.48061846065115,0.0,0.0
64,133,4,137,15,68,0.0,0.0,0.0,0.0,133.0,4.0,33.25,0.48061846065115,0.0,0.0
65,133,4,137,15,68,0.0,0.0,0.0,0.0,133.0,4.0,33.25,0.48061846065115,0.0,0.0
66,133,4,137,15,68,0.0,0.0,0.0,0.0,133.0,4.0,33.25,0.48061846065115,0.0,0.0
