step,prey_population,predator_population,total_population,total_kills,total_births,avg_prey_energy,avg_predator_energy,avg_prey_fitness,avg_predator_fitness,max_prey_generation,max_predator_generation,food_available,is_day,weather,prey_growth_rate,predator_growth_rate,kills_per_step,births_per_step,prey_smooth,predator_smooth,prey_predator_ratio,ecosystem_health,prey_momentum,predator_momentum
0,80,12,92,0,0,74.98,74.97,50.01,50.01,0,0,11254.2,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
1,80,12,92,0,0,74.96,74.94,50.02,50.02,0,0,11284.0,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
2,80,12,92,0,0,74.93,74.91,50.03,50.03,0,0,11313.8,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
3,80,12,92,0,0,74.91,74.88,50.05,50.04,0,0,11343.6,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
4,80,12,92,0,0,74.89,74.84,50.06,50.06,0,0,11373.3,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
5,80,12,92,0,0,74.86,74.81,50.07,50.07,0,0,11402.9,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
6,80,12,92,0,0,74.83,74.77,50.08,50.08,0,0,11432.4,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
7,80,12,92,0,0,74.81,74.74,50.09,50.09,0,0,11461.8,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
8,80,12,92,0,0,74.78,74.7,50.11,50.11,0,0,11490.8,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
9,80,12,92,0,0,74.75,74.66,50.12,50.12,0,0,11519.8,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
10,80,12,92,0,0,74.72,74.62,50.13,50.13,0,0,11548.4,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
11,80,12,92,0,0,74.69,74.58,50.14,50.15,0,0,11576.8,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
12,80,12,92,0,0,74.66,74.54,50.16,50.16,0,0,11605.2,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
13,80,12,92,0,0,74.64,74.5,50.17,50.17,0,0,11633.0,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
14,80,12,92,0,0,74.61,74.45,50.18,50.19,0,0,11660.8,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
15,80,12,92,0,0,74.58,74.41,50.19,50.2,0,0,11688.5,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
16,80,12,92,0,0,74.55,74.37,50.21,50.21,0,0,11716.1,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
17,80,12,92,0,0,74.52,74.33,50.22,50.23,0,0,11743.7,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
18,80,12,92,0,0,74.49,74.28,50.23,50.24,0,0,11771.0,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
19,80,12,92,0,0,74.46,74.24,50.24,50.26,0,0,11798.2,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
20,80,12,92,0,0,74.43,74.2,50.26,50.27,0,0,11825.4,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
21,80,12,92,0,0,74.4,74.16,50.27,50.28,0,0,11852.6,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
22,80,12,92,0,0,74.37,74.12,50.28,50.3,0,0,11879.6,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
23,80,12,92,0,0,74.34,74.07,50.29,50.31,0,0,11906.5,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
24,80,12,92,0,0,74.31,74.03,50.31,50.32,0,0,11932.9,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
25,80,12,92,0,0,74.28,73.99,50.32,50.34,0,0,11958.9,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
26,80,12,92,0,0,74.25,73.95,50.33,50.35,0,0,11984.9,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
27,80,12,92,0,0,74.22,73.91,50.34,50.36,0,0,12010.9,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
28,80,12,92,0,0,74.19,73.87,50.36,50.38,0,0,12036.9,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
29,80,12,92,0,0,74.16,73.83,50.37,50.39,0,0,12062.9,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
30,80,12,92,0,0,74.13,73.78,50.38,50.41,0,0,12088.9,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
31,80,12,92,0,0,74.1,73.74,50.39,50.42,0,0,12114.8,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
32,80,12,92,0,0,74.08,73.7,50.41,50.43,0,0,12140.4,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
33,80,12,92,0,0,74.05,73.66,50.42,50.45,0,0,12165.8,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
34,80,12,92,0,0,74.02,73.62,50.43,50.46,0,0,12191.2,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
35,80,12,92,0,0,73.99,73.57,50.44,50.47,0,0,12216.6,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
36,80,12,92,0,0,73.97,73.53,50.46,50.49,0,0,12242.0,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
37,80,12,92,0,0,73.94,73.49,50.47,50.5,0,0,12267.4,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
38,80,12,92,0,0,73.91,73.45,50.48,50.51,0,0,12292.7,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
39,80,12,92,0,0,73.88,73.41,50.49,50.53,0,0,12317.8,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
40,80,12,92,0,0,73.86,73.37,50.5,50.54,0,0,12342.8,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
41,80,12,92,0,0,73.83,73.32,50.52,50.56,0,0,12367.8,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
42,80,12,92,0,0,73.8,73.28,50.53,50.57,0,0,12392.8,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
43,80,12,92,0,0,73.77,73.24,50.54,50.58,0,0,12417.5,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
44,80,12,92,0,0,73.74,73.2,50.55,50.6,0,0,12441.9,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
45,80,12,92,0,0,73.72,73.16,50.57,50.61,0,0,12466.3,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
46,80,12,92,0,0,73.69,73.12,50.58,50.62,0,0,12490.7,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
47,80,12,92,0,0,73.66,73.08,50.59,50.64,0,0,12515.0,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
48,80,12,92,0,0,73.63,73.04,50.6,50.65,0,0,12539.2,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
49,80,12,92,0,0,73.6,72.99,50.62,50.66,0,0,12563.4,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
50,80,12,92,0,0,73.57,72.95,50.63,50.68,0,0,12587.2,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
51,80,12,92,0,0,73.54,72.91,50.64,50.69,0,0,12611.0,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
52,80,12,92,0,0,73.51,72.87,50.65,50.7,0,0,12634.8,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
53,80,12,92,0,0,73.49,72.83,50.67,50.72,0,0,12658.5,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
