step,prey_population,predator_population,total_population,total_kills,total_births,avg_prey_energy,avg_predator_energy,avg_prey_fitness,avg_predator_fitness,max_prey_generation,max_predator_generation,food_available,is_day,weather
17,80,12,92,0,0,75.06,75.06,50.01,50.01,0,0,11643.2,False,CLEAR
18,80,12,92,0,0,75.09,75.08,50.02,50.02,0,0,11673.0,False,CLEAR
19,80,12,92,0,0,75.12,75.1,50.03,50.03,0,0,11702.7,False,CLEAR
20,80,12,92,0,0,75.14,75.12,50.04,50.05,0,0,11732.3,False,CLEAR
21,80,12,92,0,0,75.2,75.17,50.06,50.06,0,0,11761.5,False,CLEAR
22,80,12,92,0,0,75.23,75.19,50.07,50.07,0,0,11790.6,False,CLEAR
23,80,12,92,0,0,75.25,75.2,50.08,50.08,0,0,11819.3,False,CLEAR
24,80,12,92,0,0,75.28,75.21,50.09,50.09,0,0,11847.9,False,CLEAR
25,80,12,92,0,0,75.3,75.23,50.1,50.11,0,0,11876.2,False,CLEAR
26,80,12,92,0,0,75.32,75.24,50.12,50.12,0,0,11904.3,False,CLEAR
27,80,12,92,0,0,75.34,75.25,50.13,50.13,0,0,11932.1,False,CLEAR
28,80,12,92,0,0,75.36,75.25,50.14,50.15,0,0,11959.5,False,CLEAR
29,80,12,92,0,0,75.39,75.26,50.15,50.16,0,0,11986.7,False,CLEAR
30,80,12,92,0,0,75.41,75.27,50.17,50.17,0,0,12013.7,False,CLEAR
31,80,12,92,0,0,75.46,75.31,50.18,50.19,0,0,12040.5,False,CLEAR
32,80,12,92,0,0,75.48,75.32,50.19,50.2,0,0,12067.3,False,CLEAR
33,80,12,92,0,0,75.5,75.33,50.2,50.22,0,0,12094.1,False,CLEAR
34,80,12,92,0,0,75.52,75.33,50.22,50.23,0,0,12120.9,False,CLEAR
35,80,12,92,0,0,75.54,75.34,50.23,50.24,0,0,12147.6,False,CLEAR
36,80,12,92,0,0,75.57,75.35,50.24,50.26,0,0,12174.0,False,CLEAR
37,80,12,92,0,0,75.59,75.36,50.25,50.27,0,0,12200.1,False,CLEAR
38,80,12,92,0,0,75.61,75.37,50.27,50.28,0,0,12226.1,False,CLEAR
39,80,12,92,0,0,75.63,75.38,50.28,50.3,0,0,12252.1,False,CLEAR
40,80,12,92,0,0,75.65,75.39,50.29,50.31,0,0,12278.1,False,CLEAR
41,80,12,92,0,0,75.71,75.43,50.3,50.32,0,0,12304.1,False,CLEAR
42,80,12,92,0,0,75.73,75.44,50.31,50.34,0,0,12330.1,False,CLEAR
43,80,12,92,0,0,75.75,75.45,50.33,50.35,0,0,12356.0,False,CLEAR
44,80,12,92,0,0,75.78,75.47,50.34,50.36,0,0,12381.7,False,CLEAR
45,80,12,92,0,0,75.8,75.48,50.35,50.38,0,0,12407.3,False,CLEAR
46,80,12,92,0,0,75.82,75.49,50.36,50.39,0,0,12432.6,False,CLEAR
47,80,12,92,0,0,75.85,75.5,50.37,50.4,0,0,12457.8,False,CLEAR
48,80,12,92,0,0,75.87,75.51,50.39,50.41,0,0,12482.9,False,CLEAR
49,80,12,92,0,0,75.89,75.52,50.4,50.43,0,0,12507.9,False,CLEAR
50,80,12,92,0,0,75.92,75.53,50.41,50.44,0,0,12532.9,False,CLEAR
51,80,12,92,0,0,75.98,75.57,50.42,50.45,0,0,12557.8,False,CLEAR
52,80,12,92,0,0,76.0,75.58,50.43,50.47,0,0,12582.6,False,CLEAR
53,80,12,92,0,0,76.03,75.59,50.45,50.48,0,0,12607.4,False,CLEAR
54,79,12,91,1,0,76.07,77.63,50.46,54.66,0,0,12630.7,False,CLEAR
55,79,12,91,1,0,76.11,77.63,50.48,54.67,0,0,12653.8,False,CLEAR
56,79,12,91,1,0,76.13,77.64,50.49,54.69,0,0,12678.2,False,CLEAR
57,78,12,90,2,0,76.15,79.67,50.51,58.87,0,0,12702.6,False,CLEAR
58,78,12,90,2,0,76.17,79.68,50.52,58.88,0,0,12727.0,False,CLEAR
59,78,12,90,2,0,76.2,79.69,50.53,58.89,0,0,12751.0,False,CLEAR
60,78,12,90,2,0,76.22,79.69,50.54,58.91,0,0,12775.0,False,CLEAR
61,78,12,90,2,0,76.28,79.72,50.55,58.92,0,0,12798.5,False,CLEAR
62,78,12,90,2,0,76.31,79.73,50.57,58.93,0,0,12821.4,False,CLEAR
63,78,12,90,2,0,76.33,79.74,50.58,58.95,0,0,12844.2,False,CLEAR
64,78,12,90,2,0,76.36,79.75,50.59,58.96,0,0,12866.6,False,CLEAR
65,78,12,90,2,0,76.38,79.75,50.6,58.98,0,0,12888.8,False,CLEAR
66,78,12,90,2,0,76.41,79.76,50.61,58.99,0,0,12911.0,False,CLEAR
67,78,12,90,2,0,76.43,79.77,50.62,59.0,0,0,12933.2,False,CLEAR
68,78,12,90,2,0,76.46,79.78,50.64,59.02,0,0,12955.2,False,CLEAR
69,78,12,90,2,0,76.48,79.79,50.65,59.03,0,0,12977.2,False,CLEAR
70,78,12,90,2,0,76.51,79.8,50.66,59.04,0,0,12999.2,False,CLEAR
71,78,12,90,2,0,76.56,79.85,50.67,59.06,0,0,13021.2,False,CLEAR
72,78,12,90,2,0,76.58,79.86,50.68,59.07,0,0,13043.2,False,CLEAR
73,78,12,90,2,0,76.61,79.87,50.7,59.08,0,0,13065.2,False,CLEAR
74,78,12,90,2,0,76.63,79.87,50.71,59.09,0,0,13087.1,False,CLEAR
75,78,12,90,2,0,76.66,79.88,50.72,59.11,0,0,13108.9,False,CLEAR
76,78,12,90,2,0,76.68,79.89,50.73,59.12,0,0,13130.5,False,CLEAR
77,78,12,90,2,0,76.71,79.9,50.74,59.14,0,0,13152.0,False,CLEAR
78,78,12,90,2,0,76.73,79.91,50.76,59.15,0,0,13173.4,False,CLEAR
79,78,12,90,2,0,76.75,79.91,50.77,59.16,0,0,13194.8,False,CLEAR
80,78,12,90,2,0,76.78,79.92,50.78,59.18,0,0,13216.2,False,CLEAR
81,78,12,90,2,0,76.84,79.95,50.79,59.19,0,0,13237.3,False,CLEAR
82,78,12,90,2,0,76.86,79.96,50.8,59.2,0,0,13258.3,False,CLEAR
83,78,12,90,2,0,76.89,79.97,50.82,59.22,0,0,13279.3,False,CLEAR
84,78,12,90,2,0,76.91,79.98,50.83,59.23,0,0,13300.2,False,CLEAR
85,78,12,90,2,0,76.93,79.98,50.84,59.24,0,0,13321.0,False,CLEAR
86,78,12,90,2,0,76.96,79.99,50.85,59.26,0,0,13341.7,False,CLEAR
87,78,12,90,2,0,76.98,80.0,50.86,59.27,0,0,13362.2,False,CLEAR
88,78,12,90,2,0,77.01,80.01,50.87,59.28,0,0,13382.5,False,CLEAR
89,78,12,90,2,0,77.03,80.01,50.89,59.3,0,0,13402.7,False,CLEAR
90,78,12,90,2,0,77.06,80.02,50.9,59.31,0,0,13422.9,False,CLEAR
91,78,12,90,2,0,77.12,80.05,50.91,59.32,0,0,13443.0,False,CLEAR
92,78,12,90,2,0,77.15,80.06,50.92,59.34,0,0,13463.0,False,CLEAR
93,78,12,90,2,0,77.17,80.06,50.93,59.35,0,0,13482.7,False,CLEAR
94,78,12,90,2,0,77.2,80.07,50.94,59.37,0,0,13502.2,False,CLEAR
95,78,12,90,2,0,77.22,80.08,50.96,59.38,0,0,13521.6,False,CLEAR
96,78,12,90,2,0,77.25,80.08,50.97,59.39,0,0,13540.6,False,CLEAR
97,78,12,90,2,0,77.27,80.09,50.98,59.41,0,0,13559.4,False,CLEAR
98,78,12,90,2,0,77.3,80.1,50.99,59.42,0,0,13578.2,False,CLEAR
99,78,12,90,2,0,77.32,80.1,51.0,59.43,0,0,13596.5,False,CLEAR
100,78,12,90,2,0,77.35,80.11,51.02,59.45,0,0,13614.7,False,CLEAR
101,78,12,90,2,0,77.4,80.16,51.03,59.46,0,0,13632.9,False,CLEAR
102,78,12,90,2,0,77.43,80.17,51.04,59.47,0,0,13651.1,False,CLEAR
103,78,12,90,2,0,77.45,80.18,51.05,59.49,0,0,13669.2,False,CLEAR
104,78,12,90,2,0,77.48,80.19,51.06,59.5,0,0,13687.0,False,CLEAR
105,78,12,90,2,0,77.5,80.19,51.07,59.51,0,0,13704.6,False,CLEAR
106,78,12,90,2,0,77.53,80.2,51.09,59.53,0,0,13722.2,False,CLEAR
107,78,12,90,2,0,77.56,80.21,51.1,59.54,0,0,13739.8,False,CLEAR
108,78,12,90,2,0,77.58,80.22,51.11,59.55,0,0,13757.4,False,CLEAR
109,78,12,90,2,0,77.61,80.23,51.12,59.57,0,0,13775.0,False,CLEAR
110,78,12,90,2,0,77.63,80.24,51.13,59.58,0,0,13792.6,False,CLEAR
111,78,12,90,2,0,77.69,80.26,51.14,59.59,0,0,13809.9,False,CLEAR
112,78,12,90,2,0,77.72,80.27,51.16,59.6,0,0,13826.7,False,CLEAR
113,78,12,90,2,0,77.75,80.28,51.17,59.62,0,0,13843.3,False,CLEAR
114,78,12,90,2,0,77.77,80.29,51.18,59.63,0,0,13859.9,False,CLEAR
115,78,12,90,2,0,77.8,80.3,51.19,59.64,0,0,13876.5,False,CLEAR
116,78,12,90,2,0,77.82,80.31,51.2,59.65,0,0,13893.0,False,CLEAR
117,78,12,90,2,0,77.85,80.32,51.22,59.67,0,0,13909.4,False,CLEAR
118,78,12,90,2,0,77.87,80.33,51.23,59.68,0,0,13925.6,False,CLEAR
119,78,12,90,2,0,77.9,80.34,51.24,59.69,0,0,13941.8,False,CLEAR
120,78,12,90,2,0,77.93,80.36,51.25,59.71,0,0,13957.7,False,CLEAR
121,78,12,90,2,0,77.98,80.41,51.26,59.72,0,0,13973.5,False,CLEAR
122,78,12,90,2,0,78.01,80.42,51.27,59.73,0,0,13989.0,False,CLEAR
123,78,12,90,2,0,78.03,80.43,51.29,59.74,0,0,14004.2,False,CLEAR
124,78,12,90,2,0,78.06,80.44,51.3,59.76,0,0,14019.2,False,CLEAR
125,78,12,90,2,0,78.09,80.45,51.31,59.77,0,0,14034.2,False,CLEAR
126,78,12,90,2,0,78.11,80.46,51.32,59.78,0,0,14049.2,False,CLEAR
127,78,12,90,2,0,78.14,80.47,51.33,59.79,0,0,14064.1,False,CLEAR
128,77,12,89,3,0,78.17,82.41,51.34,63.97,0,0,14078.7,False,CLEAR
129,77,12,89,3,0,78.19,82.42,51.36,63.99,0,0,14093.2,False,CLEAR
130,77,12,89,3,0,78.22,82.43,51.37,64.0,0,0,14107.6,False,CLEAR
131,77,12,89,3,0,78.28,82.44,51.38,64.01,0,0,14121.8,False,CLEAR
132,77,12,89,3,0,78.3,82.45,51.39,64.03,0,0,14136.0,False,CLEAR
133,77,12,89,3,0,78.33,82.46,51.4,64.04,0,0,14150.0,False,CLEAR
134,77,12,89,3,0,78.35,82.46,51.41,64.05,0,0,14164.0,False,CLEAR
135,77,12,89,3,0,78.38,82.47,51.43,64.07,0,0,14178.0,False,CLEAR
136,77,12,89,3,0,78.41,82.48,51.44,64.08,0,0,14192.0,False,CLEAR
137,77,12,89,3,0,78.43,82.48,51.45,64.09,0,0,14205.9,False,CLEAR
138,77,12,89,3,0,78.46,82.49,51.46,64.11,0,0,14219.7,False,CLEAR
139,76,12,88,4,0,78.5,84.44,51.47,68.29,0,0,14233.2,False,CLEAR
140,76,12,88,4,0,78.52,84.45,51.48,68.3,0,0,14246.6,False,CLEAR
141,76,12,88,4,0,78.58,84.49,51.5,68.31,0,0,14260.0,False,CLEAR
142,76,12,88,4,0,78.61,84.49,51.51,68.33,0,0,14273.4,False,CLEAR
143,76,12,88,4,0,78.63,84.5,51.52,68.34,0,0,14286.8,False,CLEAR
144,76,12,88,4,0,78.66,84.5,51.53,68.35,0,0,14300.2,False,CLEAR
145,76,12,88,4,0,78.68,84.51,51.54,68.37,0,0,14313.6,False,CLEAR
146,76,12,88,4,0,78.71,84.51,51.55,68.38,0,0,14327.0,False,CLEAR
147,76,12,88,4,0,78.73,84.52,51.57,68.39,0,0,14340.3,False,CLEAR
148,76,12,88,4,0,78.76,84.52,51.58,68.41,0,0,14353.4,False,CLEAR
149,76,12,88,4,0,78.78,84.53,51.59,68.42,0,0,14366.4,False,CLEAR
150,76,12,88,4,0,78.82,84.54,51.61,68.43,0,0,14377.6,False,CLEAR
151,76,12,88,4,0,78.9,84.55,51.63,68.45,0,0,14388.9,False,CLEAR
