step,agent_id,agent_name,species_id,health,energy,position_x,position_y,generation,age,speed,intelligence,aggression,cooperation,pollution_tolerance,action,reward
0,d994a7f6-fdc9-4d19-8e01-6b7fee61a44f,Agent_0,prey_0,100,100.0,13,35,0,1,1.9,2.0,1.2,1.2,1.1,fight,0
0,58c08aca-21f2-4f66-b2ed-9e209df1e7c7,Agent_1,prey_1,100,99.84,22,4,0,1,1.6,1.3,1.6,1.9,1.7,move,-5
0,817ee4b0-21fe-47dd-9e56-1061dea4821e,Agent_2,prey_2,100,100.0,44,7,0,1,1.8,1.1,1.1,1.3,1.7,eat,-2
0,c182d690-7bbe-4c30-a10f-063a361ad69e,Agent_3,prey_3,100,99.83,27,48,0,1,1.7,1.8,1.0,2.0,1.0,move,-5
0,c87d9130-fdb7-4bc7-8eee-8d5e70d19ec5,Agent_4,prey_4,100,99.86,8,36,0,1,1.4,2.0,1.0,1.2,1.3,move,-5
0,07d4f024-3de5-4725-b510-d9aefd1027e0,Agent_5,prey_5,100,100.0,43,41,0,1,1.2,1.9,1.4,1.0,1.6,eat,5
0,a6407c23-5657-4787-8a4a-6b59a678bd1c,Agent_6,prey_6,100,100.0,5,19,0,1,1.3,1.3,1.0,1.4,1.6,fight,0
0,54c12421-d079-451d-acde-fc4cfbd9a629,Agent_7,prey_7,100,100.0,31,5,0,1,1.7,1.1,1.6,1.1,1.8,reproduce,0
0,b821f7be-0131-4e5b-9c53-8888b3d26726,Agent_8,prey_8,100,100.0,22,42,0,1,1.2,2.0,2.0,1.2,1.7,eat,-2
0,b1802f09-6ce5-430b-bf2b-25bac1e53424,Agent_9,prey_9,100,99.8,41,24,0,1,2.0,1.9,1.5,1.2,1.8,move,-3
0,f54adf27-78e1-4920-b791-49e365b94091,Agent_10,prey_10,100,100.0,17,47,0,1,1.3,2.0,1.3,1.3,1.7,reproduce,0
0,61fe3570-58c0-43f7-8247-01ca09345b53,Agent_11,prey_11,100,100.0,1,11,0,1,1.0,1.1,2.0,1.1,1.6,fight,0
0,57669093-62ce-48f6-bec8-330f645a42d9,Agent_12,prey_12,100,100.0,36,0,0,1,1.9,2.0,2.0,1.1,1.5,reproduce,0
0,d4472701-0182-43fc-8583-65baf7483edf,Agent_13,prey_13,100,100.0,15,14,0,1,1.6,1.2,1.7,1.7,1.4,fight,0
0,87663e01-8052-48ed-8b3b-a129f730974c,Agent_14,prey_14,100,99.85,13,40,0,1,1.5,2.0,1.6,1.0,1.8,move,2
0,dfbebe28-3d96-418e-84ad-339de84ac20d,Agent_15,prey_15,100,100.0,44,48,0,1,1.1,1.9,1.1,1.4,1.0,eat,5
0,833ba2fc-1e66-45aa-91e3-a10c2187487f,Agent_16,prey_16,100,100.0,42,31,0,1,1.7,1.1,1.0,1.1,1.7,eat,-2
0,f7f18ce8-8859-43f8-9575-bb7b86453c95,Agent_17,prey_17,100,100.0,7,27,0,1,1.2,1.4,1.4,1.6,1.2,reproduce,0
0,f09ecc30-97c5-4097-bc4c-adabc78de0b4,Agent_18,prey_18,100,100.0,39,6,0,1,1.8,1.2,1.2,1.7,1.5,eat,-2
0,c1b5c727-f6d1-47be-8582-7708a41fc4a8,Agent_19,prey_19,100,100.0,32,46,0,1,1.6,1.6,2.0,1.6,1.9,fight,0
