step,species_id,population_size
0,prey_0,1
0,prey_1,1
0,prey_2,1
0,prey_3,1
0,prey_4,1
0,prey_5,1
0,prey_6,1
0,prey_7,1
0,prey_8,1
0,prey_9,1
0,prey_10,1
0,prey_11,1
0,prey_12,1
0,prey_13,1
0,prey_14,1
0,prey_15,1
0,prey_16,1
0,prey_17,1
0,prey_18,1
0,prey_19,1
0,prey_20,1
0,prey_21,1
0,prey_22,1
0,prey_23,1
0,prey_24,1
0,prey_25,1
0,prey_26,1
0,prey_27,1
0,prey_28,1
0,prey_29,1
0,prey_30,1
0,prey_31,1
0,prey_32,1
0,prey_33,1
0,prey_34,1
0,prey_35,1
0,prey_36,1
0,prey_37,1
0,prey_38,1
0,prey_39,1
0,prey_40,1
0,prey_41,1
0,prey_42,1
0,prey_43,1
0,prey_44,1
0,prey_45,1
0,prey_46,1
0,prey_47,1
0,prey_48,1
0,prey_49,1
0,prey_50,1
0,prey_51,1
0,prey_52,1
0,prey_53,1
0,prey_54,1
0,prey_55,1
0,prey_56,1
0,prey_57,1
0,prey_58,1
0,prey_59,1
0,prey_60,1
0,prey_61,1
0,prey_62,1
0,prey_63,1
0,prey_64,1
0,prey_65,1
0,prey_66,1
0,prey_67,1
0,prey_68,1
0,prey_69,1
0,prey_70,1
0,prey_71,1
0,prey_72,1
0,prey_73,1
0,prey_74,1
0,prey_75,1
0,prey_76,1
0,prey_77,1
0,prey_78,1
0,prey_79,1
0,prey_80,1
0,prey_81,1
0,prey_82,1
0,prey_83,1
0,prey_84,1
0,prey_85,1
0,prey_86,1
0,prey_87,1
0,prey_88,1
0,prey_89,1
0,prey_90,1
0,prey_91,1
0,prey_92,1
0,prey_93,1
0,prey_94,1
0,prey_95,1
0,prey_96,1
0,prey_97,1
0,prey_98,1
0,prey_99,1
1,prey_0,1
1,prey_1,1
1,prey_2,1
1,prey_3,1
1,prey_4,1
1,prey_5,1
1,prey_6,1
1,prey_7,1
1,prey_8,1
1,prey_9,1
1,prey_10,1
1,prey_11,1
1,prey_12,1
1,prey_13,1
1,prey_14,1
1,prey_15,1
1,prey_16,1
1,prey_17,1
1,prey_18,1
1,prey_19,1
1,prey_20,1
1,prey_21,1
1,prey_22,1
1,prey_23,1
1,prey_24,1
1,prey_25,1
1,prey_26,1
1,prey_27,1
1,prey_28,1
1,prey_29,1
1,prey_30,1
1,prey_31,1
1,prey_32,1
1,prey_33,1
1,prey_34,1
1,prey_35,1
1,prey_36,1
1,prey_37,1
1,prey_38,1
1,prey_39,1
1,prey_40,1
1,prey_41,1
1,prey_42,1
1,prey_43,1
1,prey_44,1
1,prey_45,1
1,prey_46,1
1,prey_47,1
1,prey_48,1
1,prey_49,1
1,prey_50,1
1,prey_51,1
1,prey_52,1
1,prey_53,1
1,prey_54,1
1,prey_55,1
1,prey_56,1
1,prey_57,1
1,prey_58,1
1,prey_59,1
1,prey_60,1
1,prey_61,1
1,prey_62,1
1,prey_63,1
1,prey_64,1
1,prey_65,1
1,prey_66,1
1,prey_67,1
1,prey_68,1
1,prey_69,1
1,prey_70,1
1,prey_71,1
1,prey_72,1
1,prey_73,1
1,prey_74,1
1,prey_75,1
1,prey_76,1
1,prey_77,1
1,prey_78,1
1,prey_79,1
1,prey_80,1
1,prey_81,1
1,prey_82,1
1,prey_83,1
1,prey_84,1
1,prey_85,1
1,prey_86,1
1,prey_87,1
1,prey_88,1
1,prey_89,1
1,prey_90,1
1,prey_91,1
1,prey_92,1
1,prey_93,1
1,prey_94,1
1,prey_95,1
1,prey_96,1
1,prey_97,1
1,prey_98,1
1,prey_99,1
2,prey_0,1
2,prey_1,1
2,prey_2,1
2,prey_3,1
2,prey_4,1
2,prey_5,1
2,prey_6,1
2,prey_7,1
2,prey_8,1
2,prey_9,1
2,prey_10,1
2,prey_11,1
2,prey_12,1
2,prey_13,1
2,prey_14,1
2,prey_15,1
2,prey_16,1
2,prey_17,1
2,prey_18,1
2,prey_19,1
2,prey_20,1
2,prey_21,1
2,prey_22,1
2,prey_23,1
2,prey_24,1
2,prey_25,1
2,prey_26,1
2,prey_27,1
2,prey_28,1
2,prey_29,1
2,prey_30,1
2,prey_31,1
2,prey_32,1
2,prey_33,1
2,prey_34,1
2,prey_35,1
2,prey_36,1
2,prey_37,1
2,prey_38,1
2,prey_39,1
2,prey_40,1
2,prey_41,1
2,prey_42,1
2,prey_43,1
